url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,has_ip,has_at,num_subdomains,has_https,path_depth,has_port,entropy,is_shortening,has_suspicious,http_status_code,http_response_time,http_redirect_count,content_length,server_type,ssl_valid,ssl_days_remaining,ssl_issuer_trusted,ssl_self_signed,ssl_cert_age_days,dns_resolve_time,dns_record_count,dns_has_mx,label
80,7,65,1,0,0,4,14,0,0,0,1,1,0,4.6111,0,0,200,0.165,0,151255,4,1,63,0,0,26,0.001,1,0,1
45,36,1,2,0,0,3,0,0,0,1,1,0,0,4.121,0,0,200,0.704,0,25829,4,1,79,0,0,10,0.071,2,0,1
31,22,1,2,0,0,3,0,0,0,1,1,0,0,3.8245,0,0,200,0.144,0,10669,5,1,29,0,0,60,0.037,1,0,1
22,14,0,1,0,0,2,0,0,0,0,1,0,0,3.8231,0,0,200,0.742,1,228139,4,1,83,0,0,6,0.124,2,1,0
40,33,0,2,0,0,2,7,0,0,1,0,0,0,4.2776,0,0,502,0.458,0,0,0,0,0,0,0,0,0.0,0,0,1
19,11,0,1,1,0,2,1,0,0,0,1,0,0,3.6819,0,0,404,0.367,0,18,4,1,248,1,0,148,0.021,2,0,0
21,13,0,1,0,0,2,0,0,0,0,1,0,0,3.8802,0,0,200,1.153,1,68539,2,1,348,0,0,46,0.033,3,1,0
35,11,2,1,1,1,4,0,0,0,0,1,1,0,4.1363,0,0,200,1.604,0,28522,1,1,85,0,0,4,0.323,1,0,1
20,12,0,1,0,0,2,0,0,0,0,1,0,0,3.7219,0,0,403,1.163,1,27343,4,1,168,0,0,226,0.076,3,1,0
15,7,0,1,0,0,2,0,0,0,0,1,0,0,3.1396,0,0,200,1.563,1,127202,4,0,0,0,0,0,0.026,1,0,0
68,20,40,2,5,0,4,22,0,0,1,1,1,0,4.7031,0,0,200,2.612,1,294969,4,1,29,0,0,60,0.031,1,0,1
28,19,1,2,1,0,3,0,0,0,1,1,0,0,3.6995,0,0,200,0.897,0,26425,4,1,83,0,0,6,0.294,2,0,1
20,12,0,2,0,0,2,0,0,0,1,1,0,0,3.5842,0,0,200,0.589,1,357783,4,1,327,0,0,37,0.05,1,0,0
23,15,0,2,0,0,2,0,0,0,1,1,0,0,3.7081,1,0,200,3.391,1,223994,5,1,213,1,0,183,0.039,1,1,0
23,4,11,1,0,0,3,0,0,0,0,1,0,0,3.8164,1,0,200,0.281,0,277,4,1,49,0,0,40,0.001,1,0,1
22,13,1,1,1,0,3,0,0,0,0,1,0,0,3.9706,0,0,200,1.616,0,1042,0,1,70,0,0,19,0.001,1,0,1
48,27,13,2,2,0,3,0,0,0,0,1,0,0,4.0978,0,0,404,1.617,0,16,2,1,50,0,0,39,0.248,1,0,1
13,5,0,1,0,0,2,0,0,0,0,1,0,0,3.3927,0,0,200,0.984,1,182174,0,1,7,1,0,83,0.037,1,0,0
31,23,0,1,0,0,2,0,0,0,0,1,0,0,4.0668,1,0,200,1.048,3,446213,0,1,263,1,0,100,0.02,4,0,0
79,15,56,2,0,1,5,16,0,0,1,1,2,0,4.7859,0,1,404,1.045,2,7882,5,1,62,0,0,21,0.001,1,1,1
42,33,1,2,3,0,3,0,0,0,1,1,0,0,4.1596,0,1,404,0.504,0,906,4,1,65,0,0,24,0.227,2,0,1
14,6,0,1,0,0,2,0,0,0,0,1,0,0,3.0391,0,0,200,0.609,0,19755,1,1,62,1,0,334,0.035,1,1,0
23,4,11,1,0,0,3,0,0,0,0,1,0,0,3.6753,1,0,200,0.57,1,11662,4,1,49,0,0,40,0.001,1,0,1
20,12,0,1,0,0,2,0,0,0,0,1,0,0,3.6842,0,0,200,1.226,0,143540,4,1,76,0,0,13,0.239,2,1,0
46,39,0,2,4,0,2,4,0,0,1,0,0,0,4.336,0,0,404,0.165,0,906,4,0,0,0,0,0,0.001,2,0,1
28,11,9,1,0,0,3,4,0,0,0,1,0,0,4.182,1,0,200,0.824,1,28989,4,1,47,0,0,42,0.001,2,1,1
41,11,22,2,1,0,5,0,0,0,0,1,2,0,4.0067,0,0,403,0.226,0,4546,4,1,88,0,0,1,0.144,2,0,1
18,10,0,1,0,0,2,2,0,0,0,1,0,0,3.8366,0,0,403,0.494,0,360,0,1,44,0,0,45,0.195,2,1,0
26,18,0,1,0,0,2,0,0,0,0,1,0,0,4.027,0,0,200,2.448,1,365720,2,1,32,0,0,57,0.186,1,1,0
47,16,23,2,2,0,5,0,0,0,1,1,2,0,4.1795,0,0,200,1.899,0,0,1,1,34,0,0,55,0.235,1,0,1
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.4548,0,0,200,0.747,0,654153,5,1,47,0,0,42,0.032,2,1,0
14,6,0,1,0,0,2,2,0,0,0,1,0,0,3.5216,0,0,200,0.467,1,212512,5,1,81,1,0,315,0.027,1,1,0
15,7,0,1,0,0,2,0,0,0,0,1,0,0,3.3736,0,0,200,1.233,2,84982,4,1,326,1,0,38,0.214,1,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.5766,0,0,403,1.112,1,365,0,1,106,1,0,258,0.038,3,1,0
26,18,1,2,0,0,3,4,0,0,1,0,0,0,4.1039,0,0,403,0.373,0,4984,4,0,0,0,0,0,0.08,2,0,1
21,13,0,2,0,0,2,0,0,0,1,1,0,0,3.6897,0,0,200,1.049,1,515059,2,1,376,0,0,18,0.047,1,0,0
21,13,0,1,0,0,2,0,0,0,0,1,0,0,3.7849,0,0,200,0.788,1,969063,5,1,84,0,0,5,0.035,2,1,0
16,8,0,1,0,0,2,1,0,0,0,1,0,0,3.625,0,0,404,1.266,0,548,2,1,82,0,0,7,0.076,1,0,0
36,27,1,2,2,0,3,0,0,0,1,1,0,0,3.9959,0,0,404,0.199,0,0,5,1,89,0,0,0,0.466,2,0,1
20,6,6,1,0,0,3,1,0,0,0,1,0,0,3.6464,0,0,200,0.177,1,57729,4,1,60,0,0,29,0.001,3,1,1
18,10,0,1,0,0,2,0,0,0,0,1,0,0,3.4613,0,0,200,0.666,0,4576,2,1,300,1,0,96,0.018,1,0,0
